article_id,newspaper_name,edition,date,page,headline,byline,article
22_1945-03-02_p1_sn82014085_00393346796_1945030201_0023,The Waterbury Democrat.,01,1945-03-02,p1,,,"The Allied left wing blazed 1nbU action with the capture of the Dutch stronghold of Venlo. Nazi broad- casts said Eisenhower had. sent the British Second Army Into Vhe shows down battle of western Germany.

 It, Gen. William H. Simpsons U. s. Ninth Army was setting the pace for the big push. It broke through the last German defenses west of the Rhine, surged onto the bank of the river across from Dues- seldorf and dashed forward IS miles under security blackout to the out skirts of Krefeld.

 Simpsons headquarters an- nounced that his tanks and infan- try rolled up substantial gains today in the payoff sweep toward the Rhine. Behind the big guns loosed shattering barrage on vital indus trial targets beyond the Rhine.

 Aboue 1000 British heavy bombers poured some 5000 tons of bombs iYi- to Cologne They leveled great patches of the Rhineland industrial capital as American First Army shocktroops fought to capture the city.

 After seven days of advances through the toughest belt of Ger many's western defenses, clements of the U. S. 83rd Division reached the Rhine and their big guns were laundering across the river into the industrial strongholds of Hitler's reich.

 Thousands of Allied wArplanes drummed overhead to rake the rec treating Germans, led by fleet cf more than 1000 RAF heavy bomb- CTS that struck at Cologne.

 Field dispatches said the shat- tered remnants of the German 18th Army were fleeing back across the Rhine by ferry, barge and bridge through Allied bombs and shells, with American tanks and infantry men pounding in at their heels.

 Vangaurds of the 83rd Division already were battling through the streets of the Rhine crossing city of Neuss, i-2 miles west of Duess seldorf.

 Neuss By-Passed

 First accounts indicated other ele. ments of the 83rd by-passed Neuss to the south and broke through to the Rhine bank in an apparent bid to capture the big bridges linking NeuSs to Dusseldorf.

 There was no immediate indicaa ton whether the retreating Ger. mans had had time to blow up the Dusseldorf spans.

 German reports indicated the British Second Army had joined in the Rhineland offensive, attacking around the norrhren flank of the U. s. Ninth Army in the Venlo sec- tor.

 At least nine American divisions were on the move for the Rhine or the Ninth Army front at pace that promised to shove the Germans over the river before the close of the week end.

 The sweeping hook into the Kre.. field area represented a gain of about 16 miles for the Second Arr mored division from its last reported position below Grevenbroich on the highway north of Juellch.

 With the blackout finally lifted, 1t was revealed that Allied bombers and fighters worked over practice ally every Nazi held village in the Rhineland to blast @ path for Simp- sons charging tanks and infantry men.

 Compact armored task forces were out in front of the advance, riding over the German de. lenses and leaving scattered enemy strong points by doughboys moving up behind them in trucks and are mored cars.

 Upward of 5000 Germans were captured by the Ninth Army yes- terday and more than 1000 by the First Army.

 Cologne Blasted

 At the same time, great fleet of more than 1000 British heavy bombers caScaded perhaps 4.000 tons of Augmentation and high-explosfve bombs down on the ruins of O0s. ogne to blast path for the Amer

 Continued on Page 4)"
22_1944-09-15_p3_sn83045462_00280603752_1944091501_0525,Evening star.,01,1944-09-15,p3,Russia,Continued From First Page. },"fere with the German ""disen-
gagement"" were repelled.
The climactic battle for Warsaw
was directed by Marshal Konstantin
Rokossovsky, himself Polish-born.


The assault on Warsaw surpassed
in human drama all the other sue
cesses on the Eastern Front, al
though these included:


/. Capture Of third to a half of
the 1882 square miles of .Transyl-
vania which Hitler assigned to Hun
gary. The provincial capital of Cluj,
whose 100, 900 population make it the
largest Romanian-claimed city still
In enemy hands, was outtianked and
within artillery range of Russians
Is miles to the south.


2. A thrust across the NareW River
from captured Nowogrod, Polish
railroad town is miles south OF East
Prussia.


3. The thrust of strong patrols
into the East Beskid Mountains of
Czechoslovakia, seeking to link up
with Sloyak Partisans.


1. An increasing penetration into
Northern Serbia, where Marshal
Tito announced his Yusoslav Par
tisan army already has Joined forces
with the Red Army near Negotin.


Fraga Seized.


Marshal Rokossovsky's 1st White
Russian Army and the first division
Of 1t. Gen. Zigmund Derling's 1st
Polish Army seized Praga after an
all-night street battle, much of 1t
hand-to-hand fighting.


Picked troops of Russian and
Polish origin volunteered to nberate
Warsaw and free the Polish Patriots
still battling its Nazi occupants.


In addition to PraRa the Russians
and Poles captured IS villages and
railway stations up and down the
Vistula for q distance Of Is to IS
miles.


Russians Drive Westward.


Northeast of Warsaw the Russians
drove westward from captured
Lomza and seized Nowogorod, on
the southern bank of the Narew
River, Is miles south OF East Prussia
and on the road to Allenstein.


Front dispatches said bitter fight-
ing was in progress in that area.
Capture Of Nowogorod wiped out
big German positions on the south
bank of the Narew.


In Transylvania the Russians ad-
vanced to within Is miles of its cap
ital, Cluj, and captured Turda, di-
rectly south.


East of Cluj the Red Army took
Gheorgheni on the western side of
the Carpathian Mountain wall, II
miles north OF Brasov, In advances
Of IS miles in the last ""a hours that
threatened to cut on Hungarians
and Romanians almost trapped in
the Muresul Valley. The fall of
Praid put the Russians within IS
miles Of TarguMures.
The Russian war bulletin made
no mention Of operations against
Germans and Hungarians seeking
to bar the Russians from Czecho-
slovakia, but Czech sources in Mos
COW said patrols have already pene-
trated the frontier in some Of the
higher passes."
10_1939-08-23_p1_sn82014085_00393347466_1939082301_0711,The Waterbury Democrat.,01,1939-08-23,p1,"Retreat Necessary Or War Is Inevitable

Hitler, Poland or Britain Must Back Down-Events Move Toward Climax-Showdown for Europe

 Before End of Week",BY WEBB MILLER,"United Pre- staff Correspondent)

 London, Aug. 23.-CUP).--A su- preme European crisis approached today. The alternatives were big backdown by Hitler, by Poland or by Britain, or war

 Events were moving toward cll- max with irresistible momentum.

 It was most likely that the show down would c le before this week. end. It seemed today that the ques- tion of a general European war de- pended primarily upon two things:

 1. The nature and extent of Hit ler's move against Poland.

 2. Whether Poland, knowing that neither Great Britain nor France could render her effective military aid, would nevertheless decide to fight if Germany attacked. Crush Poland Quickly

 It was learned that the German general staff estimated that it could completely crush Poland within two ol three eeks by simultaneous thrusts from the south through Slo- vakia, from the southwest through ! Silesia, and from the west from Pomerania.

 If the words and the grim tenn per of the British people mean any thing Britain will fight if Poland resistS on a We scale.

 Officials her said they have req son to believ2 that Hitler's plan is to seize pre-War territory from Poland, perhaps preceding the ceiz- ure with an ultimatGm. Ii Poland resists, he would attempt to crust her compleve'v by military force as rapidly as pc oible.

 Then, even though Britain ano France had started to war, he would 1 turn to the and offer immediate peace, it was believed,

 Strategy of Hitler

 Hitler's strategy is based on the belief that After a lightning ""ac- complished fact"" neither Britain nol France would wish to continue the war. Hitler would disregard sucf damage as Britain and France coulc irflict, which probably would bt comparatively little within a few weeks."
13_1945-07-23_p16_sn83045462_00280604562_1945072301_0112,Evening star.,01,1945-07-23,p16,,,"and holds Hitler entirely respon-
sible.""


January 1S-""A telegram comes
from Tirana capital of Albania)
during the night, in which the
police inspector raises the alarm.
A government can't be formed. The
rebellion is growing. 4"" Even in
Albania We get the reflection of
events on the larger checkerboard.
And these events are not good""


January 19-""The Germans have
informed us they no longer can
send the armored forces they prom
iSeo to Tunisia. Antonescu
Rumaniain dictator) is anticipat-
ing the necessity of making con-
tact with the Allies to provide a
defense against the Bolshevization
of Europe. Let us not bandage
our heads before they are broken. y"""
11_1941-10-11_p14_sn82014085_00393347685_1941101101_0689,The Waterbury Democrat.,01,1941-10-11,p14,,,"Chill autumn winds swept over Russia's plains into the field headquarters of Adolf Hitler. They waited the wrath of another Little Corporal who had recklessly invaded Muscovy, been caught in the iccle-toothed trap of Russlas winter and with the tattered, bleeding remnants of his once-conquering Grande Armee, retreated his first steps along the road to oblivion Hitler shivered. Such, might be the picture that moved Hitler to action.

 1t was fear-fear of Russa's winter = observers say, that drove Hitler to precpitate battle of mech anized forces greater than the imagnngs of writers of fantasy fiction. He summoned up every possible ounce of modern materel-planes artillery tanks hundreds and hundreds, obsolete tankettes sal. vaged from times junk pile in Belgium. They charge toward Moscow Russia fights back with all it's great resources. The incredible clash of c'anking ttans Is vsualized in the artists conception above

 The chips are down. The last hand is being played. Hitler ganbles his all for quick victory rather than face the winter that froze Napoeon's glory."
21_1941-10-30_p4_sn89064914_00393341567_1941103001_0378,Askov American.,01,1941-10-30,p4,We Reap What We Sow,,"Some people are of the opinion that
if the United States had had a real
peace-minded President in 1899, when
Hitler was moving upon Czechoslo-
vakia and Poland, war might have
been averted. America was then in
a position of much influence.


Likewise if there had been a de-
termined desire on the part Of the
governments of England and France
to make it easy for the German peo-
pie to 60 ahead with their work and
reap the harvest of their labors after
World War I, the situation would
have been different today. In that
move America could also have
welded a guiding hand."
23_1944-02-17_p6_sn82014085_00393347028_1944021701_0583,The Waterbury Democrat.,01,1944-02-17,p6,,,"ternment for the duration of the war, has come from private citi- zens whose suspicious have been

 aroused by activities of potential Fifth Columnists.

 Perhaps the most famous spy ! thriller cracked by a tip from a civilian was the famo $ Duquesne espionage case in which B NaZi agents were apprehended and con- victed. For some time during the investigation, the FBI sought to identify one Heinrich who was furnishing to Lily Stein, fellow spy, information on U. s. aircraft production.

 HEINRICH"" NABBED

 It was an observant Connecticut photographer who supplied the missing clew. Noticing that one Edmund c. Heine had placed an unusually large order for photo graphs, and had asked many ques- tions about the area. the photog- rapher passed on his information to the FBI. With this clew, the G. men clamped down on Heine and were able to identify him as the mysterious Heinrich. His sentence was IS years plus fine of 5000.

 Ernest Frederick Lehm1rz and Erwin Harry De Spretter, the two Staten Island spies convicted last summer, were both tipped off to the FBI by civilian reports. Lehmitz came to the United States in March 1941, aboard the Siboney. On the voyage across, his actions had aroused the suspicious of an alert fellow Reporting his sus- picions to the FBI, he set in motion a long and painstaking investiga- tion which finally resulted in the apprehension of NaI spy who had been trained in Germany in the preparation of secret writing and schooled in the type of information valuable to the German high con- mand

 De Spretter had the FBI put on his trail from simple report from a civilian that the man was strongly pro-NaI in his sympathies, indicating for the first time that he might be engaged in activities 1n- imical to the national security. It was more than a year later, how ever, before the G-men were able to check his record and gather the evidence that led to his conviction. Both Lehmitz and De Spretter were sentenced to 30 years.

 COLOMBIAN NAZI

 It was New Workers tip that helped clinch the case against Ro- berto Lanas Vallencilla, a Colum- bian employed in the offices of the Coordinator of Inter-American Af- fairs in Washington. Lanas Val lencilla recently confessed to com- munications with the NaziS, after his arrest by the FBI. Months be- fore New Yorker had reported to the FBI that LanaS Vallencilla had asked a woman acquaintance to work flor the cause"" and had of fered $450 month for her services. This one scrap of information was an important contribution to the CfAOCAACC W14CA tIIC ro4 1ldU d1- ready accumulated, and it aided materially in his conviction.

 Rounding up of the Detroit spy ring of eight principals last fall had its beginning in San Francisco be- fore the war when a German ex- army captain named Gugula Roz- inek aroused the suspicious of fel- low-employes in a chemical works by his pro- Nazi views. He had pro- claimed, Hitler is not only my Fuehrer, but my God"" A loyal American reported the incident to the FBI. and the investigation be- gan.

 Rozinek was found to be the hus- band of well-known lecturer on Hungarian folklore, Sari de Hajek, whose lecture tours were really a blind for gathering information on Americas defense effort. It was Sari de Hajek who recruited Grace Buchanan-Dineen, the Canadian born woman who was center of the ring, and was trained for her work in Budapest and Berlin."
9_1941-05-06_p12_sn83045462_0028060284A_1941050601_0791,Evening star.,01,1941-05-06,p12,Brituin's Chances,,"Seventeen prominent experts on
strategic, economic and political
aspects Of the war have joined in
clear cut and well-reasoned response
to those persons who, like Charles A.
Lindbergh, believe that Great Brit
ain Is doomed to defeat, even II
American aid becomes effective.
These seasoned observers, including
such men as Admirals William v.
Pratt and William H. Standley,
United States Navy, retired. former
chiefs of naval operations; Vice Ad-
nnlral William L. Rodgers, retired,
former president of the Naval War
College; Rear Admiral Harry E.
Yarnell, retired, former commander
in chief of the Asiatic Fleet; Colonel
william J. Donovan, Major George
Fielding Eliot and others, are con-
vinced that Britain can win so long
as the flow of war supplies from the
United States Is maintained without
interruption.


In a dispassionate appraisal of
present and probable future factors
bearing on the military situation in
Europe, the experts contend that
Britain's sea blockade of Germany,
plus the combined production facili-
ties Of the British Empire and the
United States, plus measures to in
sure the safe delivery of American
made war supplies to British forces,
weight the scales in Britain's favor.
The setbacks which the British have
suffered to date, while diScouraging,
are far from catastrophe, these
analysts argue. Like Wendell Willkie
and many other supporters of the
administration aid-to-Britain pol
icy, they believe that Hitler cannot
win unless he subdues the English
isles, and that he cannot subdue those
isles if planes and guns and other
necessities continue to arrive in Suffi-
cient quantities.


President Roosevelt's belief, as
stated to Secretary of War Stimson
yesterday, that the democracies can
and must"" achieve command of the
air, is shared by the seventeen au-
thorities. They, too, stress the i'm
portance of rushing heavy, long
range bombers to the Royal Air
Force, SO that destruction of Axis
military objectives can be carried
out with relentless intensity


The experts warn that ""the de-
cisive period"" of the war ""is from the
present moment until the rising
curve of American production passes"
52_1941-05-31_p2_sn83045462_00280602863_1941053101_0607,Evening star.,01,1941-05-31,p2,"|raq Asks British for Armistice
After Pro-German Premier F|ees;
English Troops Arrive at Baghdad

Peace Request
Presumably
Granted",BACKGROUND,"BACKGROUND


Pro-Germdn Premier Rdshtd
Ali Al Gallant seized potUer in
Iraq April 4. Within fen days
Britain landed troops at Bas-
ra, on Persian Cult. Fighting
British said IraQ started it
began on May 2 around
Habbaniyah Audrome, and
RaShid Ali 1OaS said to hare
asked Hitler for help. Little
came, ho10eUer."
24_1942-07-26_p4_sn78002169_00279558674_1942072601_0298,The Wilmington morning star.,01,1942-07-26,p4,"Fair Eh2ll6h


by
VBTbRi}K Edn
Pegler And The Clio.


A Columnisfs w.,","BY PHILIP W, PORTER
Cleveland Plain Dealer Col","like to get in my two cents, u
on the subject of the Ioc,, '%a
councils condemnation Of NJ 70
brook Pegler. and its desire n ""s' W,
sure the Cleveland press I'M. III
ping his column, a stupid s.,%%'
to say the least.
| We on the Plain Dealer o,.
accused in this instance Of s,sA -'A
for one of our boys, for ,.s1g p..;
column is published by or o.s sF's
tor, and is, in fact, one Of ti-.Es'' IL.
features. If Pegler should dis,s""p .~ ""p
from the press, somethiny ,, spSa'
ant and real would be sors '''U'',
that would not hurt US as al, ala
peting newspaper. WILL
| So put this down as outsi5.


ment. l don't know Pegler .rs '' VI,
not in his league, but | do l. 1I
he has plenty of CUTS sor..s, ,.U'
all too rare in newspapers ,o5a ,,'s
and he has the unions right nba!
the hair is short-that is wbv ,h. ,s
are yelling that he should he sr, ,'
pressed. And l know that any sr%
move as the CIO is MAKING u ..- l.
eral cities is a direct threat +,
freedom of the press, which affac,s
rot only ourselves but all citizens
black or white, male or femaIe
union or non-union.


Will RedoubIe Efforts


Of course, You can write if dowr
now that a newspaper with any sot
respect will get its back up at tba,
sort OF pressure, and PegIer himse4
will redouble his attempts to inject
honesty into the labor movement
and it will result in more readers
for him. The guy won the Pulitzer
prize once for his work on this sub.
ject and he knows how to handle
himself. The unionists will continuA
to read him-they don't dare not ia


Id like to touch briefly on two
things: O The silly allegation that
Pegler is hampering the war effort
by fumigating the unions and j;
therefore a fifth columnist"" az
| (2) what it would mean to free pres
and free speech for any special II,
terest such as a union to be able 10
suppress fair comment through
pressure.


| Let's consider this fifth column,
ist"" nonsense, which sounds to me
| like an old communist tactic-tw,
ing to plaster an unpleasant phrase
on the opposition. 1t would be na.
tural, for Pegler has been sockng
the communists right and left both
before and after Russia got into the
war.


What is a fifth columnist? To me
it means guys like Ham Fish and
I indbergh and Father Coughlin and
Martin Laval Sweeney who were
so busy with their hates Of our
/ present administration that they
would help Hitler and the Japs BE-
cause it would hurt Roosevelt, 1t
means Bundists and United Mothers.
Beneath Contempt


1t would be beneath contempt for
Pegler himself to answer such
phrase, but I can do it for him, The
fact is that no American writer has
so bitterly and regularly denounced
and Scorned Hitler and MuSsOln
and the Japs and their several
forms of fascism. Pegler started Il
years before the war. He started
after he Travelled through Europe
and saw the Brown Shirts in action
and his column has been anathehld
and his name mud to the GestaNl
ever since. No American writer hd'.
been more wholeheartedly in laY""
of Roosevelt's foreign policy Pes'
ler would certainly be one OF lH
first to be sarroted should HlinllF'
and Goebbels or their America
counterparts ever get control ol u


The fact also is that Pegler has
drawn a bead exactly on the ""e8N
est spot in American unionisn anu
he has already been instruhieH''
in sending three or four OF It's li91 n
notorious goons and crooks 10 !'D
willie Bioff. George scait', ~,
George Browne, among o'llels' n,, %
has pointed out without success w.
denial that the labor movement ~ ~
America today has been pfeYe0 nd -,
on by it's own business aseN's ,:nE
bosses, that it is milked out VI !""a
initiation fees and unheces1"" n,
dues. that it has no control over ~
own officers; that actual democfas' 's.,
in it is a laugh, for John l. Lss''i n
appoint their own officers ana iiaorr
plenty of other places any oF""l""N,. @ d
workman who isn't mehi'e- ,.,,T
the ruling cabal gets ills t,,rr
cracked when he talks out W ,,,rins


The nerve of these guys .n-' oriti.
they can shut up a leel'Nn@'e as me
in such fashion is VIVA. 0u,n ,ar.s f
most of all. If they coulu I""'', gars
stick against Pegler' aho'n'- rrs,tet
might make it stick asainst ,,,,sor,
Lippmann, or Dorothy 1Ho,n naorson,
or Ray Clapper, or Drew .,,rr fire.
all of whom speak out OF 'u-""
quently.. r. that i


The point 1 am making oats s
any special group feels 'I' ~ eli
that it thinks it can shuL :. W. anyc
cism then it could shut u. rHh
1t could suppress my column :, ia
is merely local and linlteu rl1otut ~


That sort of thing, If the r1s
knew it, is an element
| fascism."
12_1941-07-04_p1_sn92070146_00414189003_1941070401_0985,Imperial Valley press.,01,1941-07-04,p1,"British Beloved
Amateurs at War
Declares Editor

Correspondent Lambasts
English General as
'COnceited'",HONOLULU. July d (UP),"HONOLULU, July 4 (UP)
The British are ""just be-
loved amateurs at warfare""
John Stuart Martin, war ed
itor of Time and Life mags-
zines said today as he arrived from
six months on the Near East battle
fronts.


Martin said he had been unable
to speak his views previously be-
cause of rigid censorship.


He verbally lambasted not only
the British Near East army but
also its recently removed command
Ell, Gen. Sir Archibald Wavell.
Commenting on the British CAM
paigns in the Near East, Martin
said:


THE British are just beloved am
ateurs at warfare, and if Americans
are half as great amateurs, then
God help us.


They are doing things which
never should have been attempted.
The Greek campaign was launched
when the general ordered military
action as political gesture to Lon
don, knowing they were hopelessly
outnumbered by Hitler's troops.


I'm the Egyptian battle, against
Nazi and Italian forces, $4,000 Brit
ish troops were split in half, includ-
ing the royal air force, by a Ger
man drive.


""Wavell is able but he is con-
ceited and has miserable staff as
sitants. They waste entirely too
much ime. 1t is suicidal tie way
they send weaker troops against
the powerful Nazis. They have too
much of the wrong kind of courage


The British throw off stunning
defeats with a shake of the head.
They hail minor victories with the
comment a jolly good show""


If Great Britain holds Syria, it
probably will have a chance to keep
the strategic Suez canal, Martin
added.


But we must beat Hitler, no mat
ter how much it COSTS"" he said."
19_1939-05-17_p8_sn82014085_00393347454_1939051701_0241,The Waterbury Democrat.,01,1939-05-17,p8,,,"Follies of 1929"" ""The Girl from Havana"" Lets Go Places"" ""The Big Fight"" Good News"" ""The Cos tello Case"" Hell Bound and ""Ex- Bad Boy""

 o. How many broadcast stations are licensed in the United States?

 A. As of April 4, 1889, there were 772, including 728 regularly licensed stations; 40 under construction, and four with special broadcast licenses.

 e. Who are the heads of the U. s. Forest Service and the U. s. Bu. reau of Fisheries? J ""A. F. A. Silcox is chief of the Forest Service and Frank T. Bell, is commissioner of the Bureau of Fisheries.

 @. Has anyone made critical study of the Townsend pension plan?

 A. The Committee on Old Age Security of the Twentieth Century Fund, Inc, 33O w. 42nd street, New York city, has published . mono- graph entitled 'The Townsend Cru. sade.""

 @. What distinguishes the sev- eral bodies of the Solar System from all other visible bodies in the uni- verse?

 A. They all have the sun as the center of their motions. A descrip- ton of the bodies of the Solar Sys- tenn and the universe in general IS contained in the booklet Popular Astronomy"" which may be obtained from our Service Bureau, 1913 Thir- teenth street, Washington, D. C., for ten cents.

 o. Is there a popular German slogan linking Hitler to God as there was for the former kaiser?

 A. The saying now is: Hitler is Gods answer to Versailles""

 e. How many persons are killed annually in bath-tub falls?

 A. No estimates have been made of the number of persons killed .vor injured in bath-tubs and bathroom falls. A study of Cook county. H.. accidents showed 2,910 home acci- dents caused by falls, of which 51 were in bathrooms. These were only accidents that required hospitaliza- ton. More than a thousand of the falls were on stairs.

 If you want . copy of our book let CROSSWORD PUZZLE DIC-"
37_1940-03-05_p9_sn83045462_0028060219A_1940030501_0625,Evening star.,01,1940-03-05,p9,,,"
entered violent phase Businessmen with foreign connections



schemes intervention most of which appointment
themselves
Fixts like Oswald Garrison Willard returned
suggestions
the question with Bernard M Baruch
considered his emissary President
Hopkins University the
OF the Versailles while






In the the state affairs ITSELF
stimulus
dictons ofensves the spring which
anxiety
powerful elements the NaA high bitterly
the failure Of their after the Poland There
such the abortve moblzaons
Netherlands Hers
to give the signal for the final catastrophe.
While the President had sympathy the kind
demanded by Hitler of the



small the President ponder Intervention
of January.


Tangled Tale


Contrary report the earliest
President Secretary Hull



proposal form neutral
that while the odds heavy neutral front achieving
would this



by
wartime problems consideration



This decision that if we






vassing the candidates when Weles
southern vacation February l.
What followed slightly mysterious things
The President took with Wel where left


h ~ H H l"
15_1940-03-17_p3_sn83045462_00280602206_1940031701_0414,Evening star.,01,1940-03-17,p3,"Chamberlain Facing
First Challenge 10
War Leadership.


list Birthdoy Tomorrow;


Prepares Defense Of


Policy on Finland",~ the Associated Press.,"~ the Associated Press.


LONDON, March 16.-Prime Min.
lister Chamberlain will reach his
list birthday Monday with his war
time leadership subjected to its first
serious challenge. =.


During the weekend, he Is draft
Ing q comprehensive defense of his
conduct Of the war, to be delivered
Tuesday In the House of Commons
In reply to charges that the govern
ment hesitated until it was too late
to give Finland the help she needed
to fight of Soviet Russia.


He also faced q review OF the war
time administration of the ministry
of supply amid growing demands for
the resignation Of Minister of Sup
ply Leslie Burgin as the result Of
charges of improper influences in
the acquiring of war contracts.


Until the storm blew up in Par
Lament this week over British de-
lay In offering large-scale help to
Finland, Mr.. Chamberlain appeared
to be more firmly entrenched than
eve IN the position ne has held
throughout the most critical period
in Europe since the World War.


Little Prospect Of Change.


Even today informed political OBJ
servers saw little prospect Of any
early successful effort to change
leaders.


The reason for this lay in the
desire Of the chief political parties
to show T. united front in fighting
the war and IN the description of
Mr.. Chamberlain by his one-time
most severe critic, Winston Church.
hill, now his most important neu-
tenant:


He is as obstinate for victory as
he was for peace""


The British public knows well
how stubbornly he pursued his
.nuch-criticized ""appeasement"" pol
icy through which he sought to
avoid war. When he failed and
war came-Mr. Chamberlain called
1t the saddest day Of his life-many
thought he would step aside. In
stead he plunged into the war work
with a vigor that surprised friends
and foes alike.


Soon people were saying that Ne
vile Chamberlain was out to square
accounts with Adolf Hitler-there
was that piece of paper he waved
when he came back from Munich
after the -Slovak crisis OF
1898 and asserted 1t meant peace
in our time""


No longer the great appeaser,
he was the organizer and granite
like leader of a vast empires war
activity. He had brought into his
war cabinet Immediately on the out
break of hostilities the most out
spoken critic Of his ""appeasement""
policy and probably his most popu-
lar rival, Winston Churchill.


Heavy Losses ut Sea.


Now the war is nearly seven
months old. The lightning air
raids on London and other large
cities that many expected did not
materialize. and the Chamberlain
government was criticized for too
complete q job Of removal of civil
ians. -


Heavy British losses occurred at
sea. The British naval blockade was
frightened to try to starve Germany.


British planes dropped leaflets in
stead Of bombs over Germany and
when enemy bombers raided the
English and Scottish coasts with in
creasing frequency some of the pub
lie clamored for bombs, not leaflets."
20_1938-02-11_p8_sn83045499_00393342341_1938021101_0334,The Daily Alaska empire.,01,1938-02-11,p8,"Poles and Jews

 Are Accused

 Of Press Lies

Berndt Denies Rheinland Turmoil as Reported

 Through Europe",,"BERLIN, Feb. ll.-Altred Inge- mer Berndt, Vice Chief of the Ger man Governments Press depart ment, yesterday issued a wholesale defiant denial concerning develop ments arising from Hitler's drastic shakeup of the Reich's leadership on Feb 1

 Berndt told foreign correspond"
6_1941-10-06_p4_sn83045499_00393342250_1941100601_0242,The Daily Alaska empire.,01,1941-10-06,p4,"Turkey, Key To Russia",Cleveland Plain Dealer),"With Syria Iraa and Iran eliminated bases of Naz operation thanks to Allied occupation, Ger many is employing tactics to put the squeeze play on Turkey the strategic key to the Black Sea, southern Russia, where Hitlers armies are advanc- ing and the rich oil resources of the Caucasus region It is this object which Germany is further ing in bringing pressure on Bulgaria to become an active military partner of the Axis

 Bulgaria is important in the Nazi scheme only because of it's geographical position. It has been under complete German domination for months Its people, like all Balkan Savs, are strongly aware of their racial affinity with the Russians. Con- munism is a name that has meaning to them. They have given many indications of their dis pleasure with the Nazi attack on Russia and as consequence the German overords have imprisoned thousands of Bulgarans.

 It is the king, the cabinet and the general staff, not the people, that the Germans seek to tie more securely to their chariot in this endeavor to make Bulgaria belligerent. As they hold out glittering promises to Tsar Boris. He can have absolute naval command of the Black Sea. He has no navy now but Italy may furnish it. He can have undsputed trading rights in that area and also a protectorate over the Crmea. The mild appearing Tsar Boris is a great schemer. He is ambitious. He has survived many uprisings against his rule, both popular and military. The lure is one he cannot resist He will do Germanys bidding in this as meekly he allowed the Wehrmacht to come into his country last spring.

 Bulgaria, therefore, will be asked to join Ger many in drive toward the Dardanelles. An effort will be made to resurrect Bulgar Turkish enmities from the last century when the Sultan ruled Bull gara At the appropriate time the Thracian border of European Turkey will blaze The Germans seem impervous to the fact that Bulgaria may blaze in formally too have other occupied countries. Their indifference to this possibility is confession that they are hard pressed in Russia.

 This move will be coupled with pressure at An kara Dr. Karl Clodius, German trade missionary, whose name spells disaster for every country he visits is now in the Turkish capital trying to im- plement the German-Turkish trade treaty. At the same time Franz von Papen, Hitler's envoy to An kara, and Hans Rhode military attache, are in Berlin detailing what progress they have made in boring from within.

 Turkeys time has come. In the one-by-one method of the Germans the frontiers of the non- belgerent neutral Turkey have been reached. Tur- key most likely will remain free of German troops. Hitler's armies could not advance across Anatolia toward the Caucasus while Allied armies are sta- toned along the Syrian, Iraqan and Iranian from tiers of Turkey ready to strike. What Is sought Is the diplomatic imprisonment of Turkey There would be no fear that Turkey would observe the terms of the Montreux Treaty governing the Dar- daneles or honor her treaty of friendship with Britain drive by well land could be made for the Baku oil fields German armies in the southern Ukraine could be supported with sup plies and endorsements by sea much more easily than is possible by land.

 The real decision in this development lies in Ankara, not Sofia Allied diplomacy of the most skifu sort is called for. If Turkey deserts-and her loyalty has been none too sure in the past the Allied supply route to southern Russia is en- dangered; the position in the Near East and North Africa is made precarious and greater burden in defeating Hitler is laid upon the Allies and the United States."
4_1938-05-23_p6_sn92070146_00414188850_1938052301_0044,Imperial Valley press.,01,1938-05-23,p6,"Britain Solves


European Crisis",,"tCOntlnued from Page y
mons that British pressure on Ber-
lin and Prague to avert war over
the CzechoSlovak minority issue had
resulted in an agreement of the
opposing leaders in Prague to con-
fer.


Chamberlain said he learned
Konrad Henlein, Sudeten German
leader. and Premier Milan Hodza
would meet tonight or tomorrow


Fuehrer Adolf Hitler has assured
Britain that Germany has not the
slightest intention of marching in
to Czechoslovakia. it was learned."
